"","x"
"fashion",173
"listened",173
"offer",173
"pass",173
"praise",173
"strange",173
"dress",172
"everybody",172
"ladyships",172
"leaving",172
"remained",172
"disposition",171
"servant",171
"stopped",171
"actually",170
"delicacy",170
"delightful",170
"esteem",170
"form",170
"resolution",170
"regret",169
"spent",169
"wait",169
"credit",168
"decided",168
"journey",168
"prevent",168
"recollect",168
"delight",167
"interrupted",167
"pardon",167
"spoken",167
"standing",167
"wrote",167
"anxiety",166
"delacours",166
"sudden",166
"sufficient",166
"tears",166
"waiting",166
"advice",165
"boy",165
"extraordinary",165
"history",165
"horse",165
"law",165
"lucy",165
"value",165
"book",164
"clay",164
"irish",164
"loss",164
"niece",164
"comes",163
"completely",163
"invitation",163
"wickham",163
"avoid",162
"evil",162
"god",162
"smith",162
"absence",161
"astonishment",161
"due",161
"fire",161
"information",161
"share",161
"affair",160
"excuse",160
"human",160
"ran",160
"servants",160
"disappointment",159
"pleasant",159
"service",159
"ashamed",158
"equally",158
"godfrey",158
"heaven",158
"ladys",158
"mention",158
"talents",158
"vanity",158
"depend",157
"ideas",157
"length",157
"collins",156
"minute",156
"showed",156
"dance",155
"stairs",155
"try",155
"caught",154
"fit",154
"joined",154
"weeks",154
"close",153
"fast",153
"generous",153
"ormond",153
"proof",153
"held",152
"produced",152
"soul",152
"companion",151
"eager",151
"command",150
"fashionable",150
"harrington",150
"hartfield",150
"interesting",150
"lydia",150
"run",150
"terms",150
"writing",150
"lay",149
"yesterday",149
"breakfast",148
"follow",148
"intended",148
"listen",148
"presence",148
"affectionate",147
"attempt",147
"brothers",147
"concerned",147
"court",147
"desired",147
"following",147
"increased",147
"peace",147
"sound",147
"robert",146
"compliment",145
"helena",145
"philip",145
"speech",145
"begin",144
"changed",144
"comfortable",144
"cottage",144
"fellow",144
"occurred",144
"plan",144
"price",144
"reached",144
"rich",144
"consideration",143
"drawingroom",143
"plain",143
"rank",143
"disposed",142
"fears",142
"highly",142
"necessity",142
"tired",142
"finding",141
"finished",141
"maria",141
"quick",141
"recollected",141
"secure",141
"strength",141
"express",140
"mere",140
"warm",140
"wont",140
"courage",139
"distance",139
"grew",139
"possession",139
"sooner",139
"bless",138
"cousins",138
"humour",138
"pounds",138
"affections",137
"alarm",137
"anybody",137
"attentions",137
"considerable",137
"importance",137
"raised",137
"relations",137
"road",137
"suffered",137
"carried",136
"admire",135
"folly",135
"merit",135
"mistress",135
"proved",135
"quiet",135
"choice",134
"concern",134
"fresh",134
"hint",134
"immediate",134
"lately",134
"returning",134
"trying",134
"arm",133
"laugh",133
"lose",133
"meaning",133
"percys",133
"conscience",132
"difficult",132
"disappointed",132
"domestic",132
"drew",132
"eagerly",132
"earnest",132
"figure",132
"ground",132
"hurry",132
"pause",132
"perceived",132
"thrown",132
"acknowledged",131
"agreed",131
"contrary",131
"getting",131
"laughing",131
"liberty",131
"makes",131
"paper",131
"parties",131
"prepared",131
"useful",131
"views",131
"affected",130
"attached",130
"inclination",130
"indignation",130
"reply",130
"six",130
"smiled",130
"telling",130
"along",129
"books",129
"clear",129
"dead",129
"education",129
"fell",129
"forgotten",129
"madam",129
"nearly",129
"recollection",129
"thorpe",129
"falconers",128
"generally",128
"hold",128
"receive",128
"unless",128
"wishing",128
"assistance",127
"conviction",127
"crawfords",127
"difficulties",127
"marrying",127
"sweet",127
"threw",127
"amongst",126
"bates",126
"broadhurst",126
"interested",126
"neighbourhood",126
"observe",126
"painful",126
"blame",125
"utmost",125
"admired",124
"capable",124
"event",124
"join",124
"liked",124
"order",124
"walter",124
"endeavoured",123
"mistake",123
"prevented",123
"touched",123
"unhappy",123
"acknowledge",122
"attended",122
"black",122
"dearest",122
"guess",122
"hard",122
"indifference",122
"laid",122
"morland",122
"objection",122
"considering",121
"french",121
"julia",121
"politeness",121
"sentiments",121
"suit",121
"support",121
"suspicion",121
"confusion",120
"forgive",120
"miles",120
"papers",120
"possibly",120
"pressed",120
"slight",120
"chair",119
"freke",119
"habits",119
"impression",119
"misery",119
"observing",119
"otherwise",119
"pleasing",119
"seat",119
"seriously",119
"shame",119
"stop",119
"enjoyment",118
"highbury",118
"leisure",118
"odd",118
"offered",118
"profession",118
"russell",118
"suspect",118
"altogether",117
"condy",117
"dancing",117
"grateful",117
"putting",117
"scheme",117
"allen",116
"brandon",116
"compliments",116
"dignity",116
"fannys",116
"impatient",116
"introduced",116
"laughed",116
"ones",116
"terence",116
"agitation",115
"arms",115
"eldest",115
"fall",115
"mans",115
"observation",115
"welcome",115
"drawing",114
"genius",114
"habit",114
"hall",114
"naturally",114
"placed",114
"suffer",114
"wanting",114
"charge",113
"delay",113
"female",113
"language",113
"passing",113
"powers",113
"rose",113
"scene",113
"single",113
"suspected",113
"civility",112
"excited",112
"miserable",112
"step",112
"success",112
"whispered",112
"winter",112
"dine",111
"drawn",111
"musgrove",111
"nay",111
"questions",111
"simple",111
"thinks",111
"weather",111
"begged",110
"fully",110
"melancholy",110
"music",110
"opinions",110
"particulars",110
"quarter",110
"shut",110
"sons",110
"surely",110
"youth",110
"art",109
"cut",109
"emotion",109
"exceedingly",109
"ferrars",109
"force",109
"honest",109
"learn",109
"persuade",109
"reasonable",109
"refuse",109
"seldom",109
"settle",109
"thanks",109
"totally",109
"touch",109
"amusement",108
"civil",108
"consent",108
"explain",108
"fault",108
"guineas",108
"lordships",108
"report",108
"request",108
"required",108
"sleep",108
"anger",107
"attend",107
"becoming",107
"discovered",107
"expense",107
"land",107
"nonsense",107
"oldboroughs",107
"property",107
"smallest",107
"subjects",107
"willing",107
"accept",106
"complete",106
"confess",106
"continually",106
"die",106
"explanation",106
"frequently",106
"gresham",106
"hauton",106
"louisa",106
"lover",106
"spend",106
"various",106
"carry",105
"intelligence",105
"midst",105
"opening",105
"period",105
"possibility",105
"prove",105
"reflection",105
"acting",104
"calling",104
"declare",104
"enjoy",104
"expectation",104
"generosity",104
"important",104
"inclined",104
"orders",104
"patience",104
"recovered",104
"sensibility",104
"today",104
"astonished",103
"church",103
"draw",103
"fool",103
"forgot",103
"informed",103
"shown",103
"companions",102
"description",102
"fortnight",102
"geraldine",102
"line",102
"partner",102
"rooms",102
"spare",102
"twice",102
"accepted",101
"claim",101
"luttridge",101
"matters",101
"perceive",101
"piece",101
"properly",101
"sigh",101
"ambition",100
"bringing",100
"dreadful",100
"elegant",100
"hurried",100
"respectable",100
"constant",99
"dislike",99
"escape",99
"free",99
"hair",99
"highest",99
"parting",99
"places",99
"prudence",99
"rising",99
"sacrifice",99
"twenty",99
"waited",99
"warmth",99
"youll",99
"connexion",98
"deep",98
"events",98
"gold",98
"lips",98
"notion",98
"remain",98
"widow",98
"break",97
"broken",97
"colour",97
"decide",97
"deserve",97
"intimacy",97
"invited",97
"jews",97
"lines",97
"formerly",96
"imagined",96
"income",96
"motive",96
"number",96
"obtained",96
"succeeded",96
"belief",95
"belindas",95
"dangerous",95
"dashfort",95
"erasmus",95
"feared",95
"glenthorn",95
"ive",95
"moved",95
"noble",95
"parted",95
"propriety",95
"relieved",95
"throw",95
"tom",95
"worst",95
"across",94
"approbation",94
"comprehend",94
"explained",94
"fancied",94
"jealousy",94
"lizzy",94
"principle",94
"quit",94
"refused",94
"retired",94
"abroad",93
"berenice",93
"consciousness",93
"dublin",93
"fate",93
"favourable",93
"grave",93
"higher",93
"instance",93
"listening",93
"minister",93
"pleasures",93
"receiving",93
"tenderness",93
"blush",92
"burst",92
"chief",92
"ended",92
"false",92
"glance",92
"glass",92
"greatly",92
"ignorance",92
"intimate",92
"maid",92
"objects",92
"satisfy",92
"usually",92
"admiral",91
"conscious",91
"crowd",91
"disagreeable",91
"doctor",91
"gained",91
"indifferent",91
"learned",91
"ordered",91
"prospect",91
"staying",91
"treated",91
"trial",91
"attending",90
"boys",90
"closed",90
"entrance",90
"impatience",90
"noise",90
"opposite",90
"proposed",90
"tea",90
"addressed",89
"barton",89
"box",89
"evidently",89
"lively",89
"rejoiced",89
"admitted",88
"agent",88
"asking",88
"assurance",88
"concluded",88
"doors",88
"drive",88
"happily",88
"hurt",88
"longbourn",88
"month",88
"probability",88
"proceeded",88
"relief",88
"sentiment",88
"unfortunate",88
"white",88
"worthy",88
"afford",87
"beloved",87
"calm",87
"cheerful",87
"conceal",87
"contempt",87
"cunningham",87
"encouragement",87
"escaped",87
"latter",87
"mamma",87
"middleton",87
"save",87
"seized",87
"selfish",87
"simplicity",87
"suffering",87
"sympathy",87
"acted",86
"charlotte",86
"condition",86
"direction",86
"eltons",86
"enthusiasm",86
"exertion",86
"fortunate",86
"frances",86
"herveys",86
"ing",86
"introduce",86
"loud",86
"randalls",86
"related",86
"summer",86
"accomplished",85
"authority",85
"bid",85
"clever",85
"eagerness",85
"enter",85
"harriets",85
"honourable",85
"inquiries",85
"jason",85
"lead",85
"lives",85
"reach",85
"relation",85
"seated",85
"tis",85
"truly",85
"agree",84
"brantefield",84
"claims",84
"deeply",84
"effort",84
"experience",84
"gardiner",84
"goes",84
"idle",84
"proposal",84
"sad",84
"ways",84
"died",83
"dog",83
"evident",83
"foot",83
"gentle",83
"obtain",83
"pronounced",83
"spot",83
"stranger",83
"triumph",83
"younger",83
"angelica",82
"assist",82
"compassion",82
"example",82
"exercise",82
"faults",82
"foolish",82
"heartily",82
"panton",82
"principles",82
"removed",82
"reproach",82
"reynolds",82
"sufficiently",82
"trusted",82
"venture",82
"wholly",82
"wonderful",82
"begun",81
"ceased",81
"characters",81
"choose",81
"despair",81
"discovery",81
"earnestly",81
"eat",81
"happen",81
"hastily",81
"hate",81
"increase",81
"notwithstanding",81
"ring",81
"running",81
"sex",81
"taught",81
"thoroughly",81
"unable",81
"vexed",81
"altered",80
"employed",80
"forth",80
"goodness",80
"hill",80
"intention",80
"officers",80
"parsonage",80
"passage",80
"provided",80
"spared",80
"tender",80
"water",80
"blessing",79
"composure",79
"convince",79
"dared",79
"delicate",79
"dressed",79
"ear",79
"elegance",79
"endure",79
"engage",79
"flattered",79
"granted",79
"motives",79
"points",79
"reserve",79
"saved",79
"school",79
"sea",79
"sick",79
"virtue",79
"wants",79
"warmly",79
"according",78
"alarmed",78
"busy",78
"county",78
"duke",78
"friendly",78
"game",78
"inquiry",78
"lest",78
"loves",78
"memory",78
"obliging",78
"office",78
"packet",78
"pains",78
"peculiar",78
"prince",78
"produce",78
"rate",78
"ruin",78
"severe",78
"sincere",78
"stanhope",78
"variety",78
"add",77
"beside",77
"design",77
"desirable",77
"drove",77
"emmas",77
"endeavour",77
"feet",77
"hearts",77
"hero",77
"incapable",77
"inquire",77
"middle",77
"mordicai",77
"move",77
"neighbours",77
"occupied",77
"principal",77
"rackrent",77
"reasons",77
"senses",77
"sincerity",77
"smiles",77
"uppercross",77
"village",77
"watch",77
"couple",76
"dread",76
"dying",76
"earth",76
"fairly",76
